#timestamp, tx, ty, tz, r, p, y
1.61479e+09,2.99286e-05,-2.45189e-06,-1.5694e-06,-2.63481e-07,2.23263e-07, -5.22878e-06
1.61479e+09,0.532918,-0.00196378,-0.00207168,0.00717741,0.00284089, -0.00431726
1.61479e+09,1.06309,0.017447,-0.0109381,0.00278034,-0.0027941, 0.175459
1.61479e+09,1.31116,0.0966595,-0.00872538,0.00472666,-0.00537924, 0.545294
1.61479e+09,1.45841,0.212344,-0.00751246,0.00776703,-0.00869263, 0.771657
1.61479e+09,1.81322,0.565025,-0.00687929,0.00394927,-0.00622658, 0.636268
1.61479e+09,2.06237,0.694011,-0.00719043,0.00754173,-0.0103795, 0.422119
1.61479e+09,2.53586,0.861137,-0.013359,0.0107012,0.00231633, 0.324363
1.61479e+09,3.1378,1.03386,-0.0163544,0.00319408,0.00378912, 0.269792
1.61479e+09,3.75915,1.18063,-0.0206194,0.00301713,0.000323475, 0.238872
1.61479e+09,4.3126,1.29692,-0.028769,0.00276624,0.00703071, 0.223315
1.61479e+09,4.87858,1.41677,-0.0401958,-0.0011657,0.00778602, 0.193543
1.61479e+09,5.44352,1.50421,-0.0465121,0.000852351,0.00441511, 0.138399
1.61479e+09,6.06525,1.55837,-0.0542582,0.00215321,0.0116701, 0.10133
1.61479e+09,6.70588,1.60899,-0.0612904,0.00104908,-0.00372145, 0.0780582
1.61479e+09,7.38004,1.6493,-0.0724944,-0.000294451,-0.00018659, 0.0625535
1.61479e+09,8.10066,1.67951,-0.0793118,-0.00154582,0.00796467, 0.0489109
1.61479e+09,8.80344,1.70369,-0.0954541,-0.00582004,0.00420613, 0.0356658
1.61479e+09,9.51744,1.72211,-0.10791,-0.00921892,0.00561695, 0.0259836
1.61479e+09,10.222,1.7239,-0.114373,-0.00730071,0.00379058, 0.0162453
1.61479e+09,10.9478,1.72044,-0.112969,0.00222973,-0.00215741, 0.0336615
1.61479e+09,11.4586,1.75916,-0.127105,-0.00470733,0.00745012, 0.095629
1.61479e+09,12.1983,1.82643,-0.129611,0.00125477,-0.00395641, 0.123262
1.61479e+09,12.9447,1.9089,-0.139311,0.00548548,-0.000267458, 0.132482
1.61479e+09,13.6851,2.00222,-0.14182,0.00515007,0.00272256, 0.132324
1.61479e+09,14.4276,2.08531,-0.146623,0.00609808,-0.00363226, 0.120108
1.61479e+09,14.9255,2.1371,-0.148283,0.00245537,0.00126576, 0.117882
1.61479e+09,15.429,2.19077,-0.15822,-0.00139537,0.00491653, 0.115719
1.61479e+09,16.1688,2.26687,-0.166416,0.00107029,0.00293443, 0.1107
1.61479e+09,16.6903,2.31244,-0.175539,0.00423151,0.00741986, 0.107736
1.61479e+09,17.2509,2.36774,-0.18724,0.000367844,0.0104154, 0.103185
1.61479e+09,17.8194,2.40837,-0.18654,0.00507904,-0.000580299, 0.0966971
1.61479e+09,18.3881,2.45202,-0.194562,0.0138468,0.000483193, 0.09243
1.61479e+09,18.9621,2.49458,-0.196317,0.00942957,0.00625367, 0.0873512
1.61479e+09,19.532,2.53584,-0.205015,0.00651524,7.86919e-05, 0.0819428
1.61479e+09,20.0979,2.57952,-0.206753,0.00549059,-0.00834394, 0.0738158
1.61479e+09,20.6721,2.61583,-0.21382,0.00207649,-0.0022859, 0.0681425
1.61479e+09,21.2525,2.64222,-0.2163,0.000260896,0.00706263, 0.0648328
1.61479e+09,21.827,2.67217,-0.226028,0.00476842,0.00608739, 0.0584231
1.61479e+09,22.3956,2.69224,-0.233311,0.00879798,0.00713218, 0.0529145
1.61479e+09,22.9649,2.71518,-0.24568,0.00879796,0.00346602, 0.0487122
1.61479e+09,23.5424,2.73204,-0.254507,0.00653104,0.000407712, 0.0413836
1.61479e+09,24.1137,2.74415,-0.254958,0.00937897,0.00287281, 0.0342822
1.61479e+09,24.689,2.75527,-0.260241,0.00599011,0.00591258, 0.0510929
1.61479e+09,25.2958,2.78754,-0.269116,0.00921945,0.05026, 0.139776
1.61479e+09,25.8487,2.90075,-0.317907,0.0384575,0.0442219, 0.325226
1.61479e+09,26.3467,3.15975,-0.314634,0.0150342,0.00519762, 0.492836
1.61479e+09,26.807,3.47652,-0.322202,0.0155819,-0.00750503, 0.737908
1.61479e+09,27.1492,3.91938,-0.313313,0.00955277,-0.0231093, 1.00518
1.61479e+09,27.4411,4.41399,-0.341365,0.0102815,-0.0188564, 1.08282
1.61479e+09,27.7291,4.95129,-0.34383,0.0225517,0.0332929, 1.1171
1.61479e+09,27.997,5.45083,-0.360532,0.0295182,0.0310508, 1.09087
1.61479e+09,28.3094,5.96006,-0.390533,0.0229815,0.039636, 1.00074
1.61479e+09,28.6965,6.43644,-0.440056,0.0297443,0.0904066, 0.899358
1.61479e+09,29.0998,6.91021,-0.509707,0.0352495,0.134337, 0.862698
1.61479e+09,29.4765,7.31285,-0.587993,0.0271512,0.126989, 0.840846
