#timestamp, tx, ty, tz, r, p, y
1.61479e+09,-1.82687e-05,-3.68719e-05,5.73342e-06,4.14393e-07,-1.95843e-06, -1.10086e-05
1.61479e+09,0.532841,-0.00202927,-0.00205765,0.00717888,0.00283632, -0.00432866
1.61479e+09,1.06298,0.0173481,-0.0109179,0.00278129,-0.0028012, 0.175442
1.61479e+09,1.31115,0.0966519,-0.0087413,0.0047266,-0.00537936, 0.545294
1.61479e+09,1.45838,0.212332,-0.00753595,0.0077669,-0.00869279, 0.771657
1.61479e+09,1.81319,0.565008,-0.00691029,0.00394914,-0.00622686, 0.636268
1.61479e+09,2.06233,0.69399,-0.00722895,0.00754167,-0.0103799, 0.422119
1.61479e+09,2.53581,0.861112,-0.0134049,0.0107012,0.00231572, 0.324363
1.61479e+09,3.13774,1.03383,-0.0164075,0.00319413,0.00378829, 0.269792
1.61479e+09,3.75891,1.18024,-0.020539,0.00301878,0.000300047, 0.238819
1.61479e+09,4.31233,1.29647,-0.0286801,0.00276823,0.00700646, 0.223257
1.61479e+09,4.8783,1.41626,-0.0400791,-0.00116245,0.00775817, 0.19348
1.61479e+09,5.44324,1.50363,-0.0464321,0.000856314,0.00439011, 0.138331
1.61479e+09,6.06496,1.55773,-0.0540796,0.00215997,0.0116385, 0.101257
1.61479e+09,6.70558,1.60829,-0.0610708,0.00105712,-0.00375478, 0.0779813
1.61479e+09,7.37977,1.64851,-0.0722134,-0.000285623,-0.000220573, 0.0624731
1.61479e+09,8.10036,1.67864,-0.0789912,-0.00153559,0.00792837, 0.0488261
1.61479e+09,8.80315,1.70274,-0.0950855,-0.00580911,0.00416948, 0.035578
1.61479e+09,9.51716,1.72108,-0.107473,-0.00920654,0.00557859, 0.0258916
1.61479e+09,10.2218,1.72278,-0.113899,-0.0072882,0.00375383, 0.0161503
1.61479e+09,10.9476,1.71922,-0.112408,0.00224316,-0.00219708, 0.0335629
1.61479e+09,11.4583,1.75787,-0.126495,-0.00469573,0.00740934, 0.0955276
1.61479e+09,12.1981,1.82507,-0.128976,0.00126509,-0.00399503, 0.123158
1.61479e+09,12.9446,1.90744,-0.138623,0.00549606,-0.000305994, 0.132375
1.61479e+09,13.6849,2.00063,-0.141049,0.00516215,0.00268186, 0.132214
1.61479e+09,14.4275,2.08362,-0.145817,0.00611132,-0.00367216, 0.119996
1.61479e+09,14.9255,2.1354,-0.147508,0.00246837,0.00122915, 0.117767
1.61479e+09,15.4289,2.18894,-0.157387,-0.00138062,0.00487792, 0.115603
1.61479e+09,16.1689,2.26503,-0.165617,0.00108479,0.00289928, 0.11058
1.61479e+09,16.6906,2.31064,-0.174682,0.00424659,0.00740067, 0.107611
1.61479e+09,17.251,2.36577,-0.186443,0.000383836,0.0103816, 0.10306
1.61479e+09,17.8198,2.40647,-0.185707,0.0050955,-0.000594784, 0.0965645
1.61479e+09,18.3886,2.45003,-0.193834,0.0138625,0.000456203, 0.0922933
1.61479e+09,18.9627,2.49253,-0.1956,0.00944594,0.0062272, 0.0872111
1.61479e+09,19.5323,2.5336,-0.204225,0.00653437,4.65391e-05, 0.0818068
1.61479e+09,20.0982,2.57721,-0.205967,0.00551059,-0.00837594, 0.073677
1.61479e+09,20.6725,2.61346,-0.213037,0.00209728,-0.00231788, 0.068001
1.61479e+09,21.2529,2.63978,-0.215524,0.000282406,0.00703046, 0.0646886
1.61479e+09,21.8275,2.66967,-0.225258,0.00479075,0.00605498, 0.058276
1.61479e+09,22.3961,2.68967,-0.232548,0.0088211,0.00709938, 0.0527644
1.61479e+09,22.9655,2.71254,-0.244917,0.00882183,0.00343271, 0.0485589
1.61479e+09,23.5431,2.72933,-0.25374,0.00655577,0.000373893, 0.0412271
1.61479e+09,24.1144,2.74136,-0.254183,0.00940456,0.00283843, 0.0341225
1.61479e+09,24.6898,2.7524,-0.259459,0.00601573,0.00587696, 0.0509299
1.61479e+09,25.2966,2.7846,-0.268321,0.00924237,0.0502213, 0.13961
