#timestamp, tx, ty, tz, r, p, y
1.61479e+09,-1.92557e-06,-1.56918e-06,1.11214e-06,1.39408e-07,-3.88544e-07, -3.06472e-07
1.61479e+09,0.533223,-0.00191735,-0.00223845,0.00721896,0.002843, -0.00429519
1.61479e+09,1.06325,0.017419,-0.011028,0.00280589,-0.0027987, 0.175487
1.61479e+09,1.31156,0.0969617,-0.00895389,0.00482538,-0.00537671, 0.545307
1.61479e+09,1.45856,0.212403,-0.00775249,0.0078237,-0.00873826, 0.77168
1.61479e+09,1.81327,0.565161,-0.00713368,0.00398345,-0.00621122, 0.636258
1.61479e+09,2.06245,0.694043,-0.00696554,0.0074771,-0.0103842, 0.422089
1.61479e+09,2.53636,0.861154,-0.0132087,0.0107378,0.00231347, 0.324369
1.61479e+09,3.13852,1.0339,-0.0166978,0.00312031,0.00373572, 0.269782
1.61479e+09,3.75921,1.18057,-0.020725,0.00300736,0.000321887, 0.23892
1.61479e+09,4.31305,1.29699,-0.0290592,0.00272662,0.0069994, 0.223369
1.61479e+09,4.87892,1.41712,-0.0403154,-0.00117958,0.00774468, 0.193593
1.61479e+09,5.44345,1.50427,-0.046772,0.000764229,0.00441635, 0.138446
1.61479e+09,6.06536,1.55895,-0.0547723,0.00212061,0.0116837, 0.101407
1.61479e+09,6.70582,1.60979,-0.0618103,0.00100932,-0.00377678, 0.0781105
1.61479e+09,7.38045,1.64952,-0.0724119,-0.000399414,-0.000197619, 0.0626112
1.61479e+09,8.10081,1.68051,-0.0795971,-0.00149921,0.00794267, 0.0489649
1.61479e+09,8.8042,1.70488,-0.0955166,-0.00584868,0.00408884, 0.0357575
1.61479e+09,9.51727,1.7231,-0.107832,-0.00920009,0.00567559, 0.0260707
1.61479e+09,10.2218,1.72474,-0.114577,-0.0073535,0.00378574, 0.0163318
1.61479e+09,10.9471,1.72217,-0.113077,0.002235,-0.00219195, 0.0337224
1.61479e+09,11.4581,1.7602,-0.127032,-0.0048135,0.00744978, 0.0956838
1.61479e+09,12.198,1.82733,-0.129224,0.00125083,-0.00392234, 0.123364
1.61479e+09,12.9446,1.9107,-0.138565,0.00556676,-0.000230971, 0.132556
1.61479e+09,13.6851,2.00394,-0.141342,0.00516066,0.00269162, 0.132387
1.61479e+09,14.4273,2.08744,-0.146244,0.00614848,-0.00350093, 0.120191
1.61479e+09,14.9258,2.13883,-0.147949,0.00235249,0.00139329, 0.117948
1.61479e+09,15.4297,2.19341,-0.158279,-0.00128193,0.00495661, 0.115815
1.61479e+09,16.1701,2.26932,-0.165963,0.00108952,0.00297899, 0.110796
1.61479e+09,16.6916,2.31509,-0.175463,0.0042271,0.00753637, 0.107839
1.61479e+09,17.2523,2.37074,-0.18748,0.000466707,0.0104605, 0.103224
1.61479e+09,17.8209,2.41102,-0.187024,0.00504614,-0.000414753, 0.0967789
1.61479e+09,18.3897,2.45433,-0.195685,0.0137042,0.00073966, 0.0924976
1.61479e+09,18.9641,2.49778,-0.19679,0.00935182,0.00638333, 0.0874497
1.61479e+09,19.5359,2.53885,-0.205642,0.00643444,9.82766e-05, 0.082036
1.61479e+09,20.1,2.58287,-0.207297,0.00544087,-0.0081386, 0.0738989
1.61479e+09,20.6752,2.61959,-0.214764,0.00209144,-0.00213756, 0.0681926
1.61479e+09,21.255,2.64664,-0.216009,0.000263982,0.00733859, 0.0648914
1.61479e+09,21.8299,2.67646,-0.227592,0.00472489,0.00626125, 0.0584948
1.61479e+09,22.3989,2.69583,-0.234792,0.00872915,0.00735135, 0.0529495
1.61479e+09,22.9682,2.7195,-0.246634,0.00877631,0.00362812, 0.0487309
1.61479e+09,23.5458,2.73623,-0.255841,0.00651083,0.000603607, 0.0414117
1.61479e+09,24.1172,2.74912,-0.25712,0.00937391,0.00315204, 0.0342897
1.61479e+09,24.6922,2.75936,-0.262142,0.00592001,0.00609936, 0.0511388
1.61479e+09,25.299,2.79141,-0.270784,0.00915202,0.0503966, 0.139784
1.61479e+09,25.8526,2.90575,-0.31949,0.0385651,0.0444761, 0.325202
1.61479e+09,26.3507,3.16436,-0.316532,0.0149839,0.005299, 0.492836
1.61479e+09,26.8106,3.48115,-0.324775,0.0156441,-0.00736779, 0.737897
1.61479e+09,27.1537,3.92397,-0.316288,0.00957872,-0.0228647, 1.00515
1.61479e+09,27.4457,4.41841,-0.34434,0.0102585,-0.0187275, 1.08284
1.61479e+09,27.7335,4.95571,-0.346165,0.0226,0.0335074, 1.11708
1.61479e+09,28.0013,5.45544,-0.3627,0.0296597,0.0312175, 1.09086
1.61479e+09,28.3125,5.96406,-0.391938,0.0230836,0.0399606, 1.00076
1.61479e+09,28.7013,6.4408,-0.443091,0.0297285,0.090522, 0.89936
1.61479e+09,29.1043,6.91463,-0.51254,0.0353247,0.134664, 0.86269
1.61479e+09,29.481,7.31701,-0.590719,0.0271476,0.127214, 0.840828
1.61479e+09,29.9768,7.91364,-0.658211,0.0313279,0.0583415, 0.895073
1.61479e+09,30.3388,8.34289,-0.693716,0.0383964,0.0671679, 0.906818
1.61479e+09,30.6597,8.75249,-0.727,0.0376618,0.0449235, 0.905981
1.61479e+09,31.0072,9.16594,-0.7511,0.0339507,0.0395723, 0.874866
1.61479e+09,31.3552,9.56182,-0.772553,0.0315121,0.0168613, 0.859113
1.61479e+09,31.7289,9.97102,-0.783102,0.031973,0.0293511, 0.848213
1.61479e+09,32.1125,10.388,-0.807145,0.0249069,0.0375843, 0.835362
1.61479e+09,32.4841,10.7836,-0.832175,0.0203188,0.0330104, 0.7945
1.61479e+09,32.895,11.1596,-0.856945,0.0322341,0.0426108, 0.761622
1.61479e+09,33.3181,11.5019,-0.883331,0.0381656,0.0507331, 0.663566
1.61479e+09,33.7799,11.7844,-0.91779,0.0250089,0.0523314, 0.381667
1.61479e+09,34.3248,11.9364,-0.964927,0.0201282,0.0762786, 0.219545
1.61479e+09,34.8708,11.9959,-0.997212,-0.0224069,0.0813119, 0.0149793
1.61479e+09,35.4074,11.991,-1.03986,-0.0465576,0.0580231, -0.076088
1.61479e+09,35.9595,11.9207,-1.07671,-0.0374808,0.0474927, -0.116689
1.61479e+09,36.4973,11.8473,-1.10772,-0.00768832,0.040419, -0.064407
1.61479e+09,37.0448,11.8082,-1.13157,-0.0102331,0.0349784, -0.0523232
1.61479e+09,37.5905,11.7693,-1.15121,-0.00268737,0.0344121, -0.046486
1.61479e+09,38.1399,11.7433,-1.17622,-0.00414204,0.0281783, -0.0439552
1.61479e+09,38.697,11.7089,-1.1964,-0.0106601,0.0261905, -0.0464224
1.61479e+09,39.2304,11.6872,-1.20822,-0.0142428,0.0299152, -0.0541429
1.61479e+09,39.7556,11.6395,-1.22796,-0.00228625,0.00334458, -0.0536635
1.61479e+09,40.3171,11.6083,-1.23396,-0.00993069,0.00670512, -0.055652
1.61479e+09,40.9071,11.5721,-1.25901,-0.0166425,0.0242322, -0.0606801
1.61479e+09,41.4717,11.5302,-1.26227,-0.0143156,0.0200256, -0.060288
1.61479e+09,42.0276,11.4906,-1.27156,-0.0239044,-0.00186396, -0.0658612
1.61479e+09,42.6132,11.4122,-1.28713,-0.015788,0.0183001, -0.131501
1.61479e+09,43.1801,11.2979,-1.30176,0.00300691,0.0126837, -0.19771
1.61479e+09,43.7233,11.1455,-1.3093,0.00693591,0.0124612, -0.278193
1.61479e+09,44.2371,10.9902,-1.30617,-0.0143891,-0.00554776, -0.315293
1.61479e+09,44.7687,10.8167,-1.30647,-0.0358376,-0.0218496, -0.381444
1.61479e+09,45.3092,10.5793,-1.30858,-0.0439836,-0.00102289, -0.425291
1.61479e+09,45.7975,10.3122,-1.3047,-0.0429426,-0.0123344, -0.555844
1.61479e+09,46.2894,9.98119,-1.31345,-0.0622909,0.00721769, -0.641877
1.61479e+09,46.7089,9.63937,-1.30503,-0.0739752,-0.0280646, -0.689791
1.61479e+09,47.1349,9.25481,-1.28633,-0.0736963,-0.0354469, -0.748481
1.61479e+09,47.5259,8.85203,-1.26744,-0.0606355,-0.0397467, -0.77018
1.61479e+09,47.9183,8.46524,-1.25657,-0.0755593,-0.0454131, -0.788332
1.61479e+09,37.1045,14.4424,-1.13315,-0.000180105,0.00160628, -3.10675
1.61479e+09,36.5919,14.4018,-1.11304,0.00127734,-0.0642794, -3.13076
1.61479e+09,36.3828,14.3598,-1.10534,-0.0190711,-0.0641393, -2.83123
1.61479e+09,36.281,14.2952,-1.09361,-0.041997,-0.0541086, -2.48775
1.61479e+09,36.2591,14.2619,-1.09624,-0.0482354,-0.0416032, -2.24996
1.61479e+09,35.9612,13.8202,-1.08308,-0.0500264,-0.03586, -2.11857
1.61479e+09,35.6452,13.3172,-1.0646,-0.0474995,-0.0352567, -2.1237
1.61479e+09,35.3171,12.8112,-1.049,-0.0576451,-0.0399022, -2.1876
1.61479e+09,34.9619,12.3413,-1.02101,-0.0607224,-0.0893081, -2.23793
1.61479e+09,34.6237,11.9224,-0.98655,-0.0686322,-0.0477971, -2.25104
1.61479e+09,34.2948,11.5235,-0.96364,-0.0744631,-0.0687889, -2.2598
1.61479e+09,33.9102,11.0807,-0.930707,-0.060901,-0.0719137, -2.25136
1.61479e+09,33.4881,10.5829,-0.888506,-0.0519321,-0.0573653, -2.25842
1.61479e+09,33.0787,10.0783,-0.859603,-0.0629824,-0.0484481, -2.26735
1.61479e+09,32.745,9.7049,-0.841335,-0.0572281,-0.0542873, -2.27055
1.61479e+09,32.382,9.29834,-0.820213,-0.0506342,-0.0452712, -2.27251
1.61479e+09,32.0251,8.89742,-0.796761,-0.041249,-0.0449096, -2.27899
1.61479e+09,31.676,8.51824,-0.77473,-0.0244378,-0.066465, -2.2825
1.61479e+09,31.3091,8.11508,-0.745436,-0.0177851,-0.0632953, -2.28549
1.61479e+09,30.9567,7.73324,-0.705949,-0.00938587,-0.0809688, -2.29079
1.61479e+09,30.6,7.35899,-0.66029,0.00275225,-0.108396, -2.29672
1.61479e+09,30.2144,6.96672,-0.617777,0.0172086,-0.065795, -2.31301
1.61479e+09,29.7718,6.53809,-0.531354,0.0478123,-0.162287, -2.32977
1.61479e+09,29.4174,6.12981,-0.450129,0.0182163,-0.143096, -2.2455
1.61479e+09,29.0583,5.66312,-0.39037,0.00520809,-0.0936931, -2.1815
1.61479e+09,28.7056,5.24061,-0.358517,0.0388144,-0.06041, -2.21268
1.61479e+09,28.3651,4.83521,-0.338963,0.0490395,-0.0510411, -2.29768
1.61479e+09,27.9892,4.44208,-0.332937,0.0159019,-0.0349357, -2.42
1.61479e+09,27.5317,4.12559,-0.322953,0.0077358,-0.00377081, -2.58287
1.61479e+09,26.9611,3.77634,-0.321391,-0.025201,-0.0135702, -2.64745
1.61479e+09,26.3656,3.52247,-0.310555,-0.0293558,-0.023456, -2.79651
1.61479e+09,25.8875,3.36478,-0.297179,-0.0264446,-0.0195349, -2.82852
1.61479e+09,25.2494,3.22652,-0.26078,-0.0312424,-0.0302116, -2.95091
1.61479e+09,24.721,3.17166,-0.243762,-0.0171712,-0.0188135, -2.9945
1.61479e+09,24.1918,3.10258,-0.229589,-0.0201172,-0.0145206, -3.02226
1.61479e+09,23.6754,3.05747,-0.233273,-0.0166041,-0.016358, -3.03525
1.61479e+09,23.1565,3.01156,-0.229927,-0.0179971,-0.0189133, -3.04838
1.61479e+09,22.6406,2.98561,-0.21713,-0.0158789,-0.0219562, -3.09315
1.61479e+09,22.1257,2.98167,-0.212889,-0.0157034,-0.0226339, -3.10946
1.61479e+09,21.6053,2.97345,-0.20967,-0.0126622,-0.0207268, -3.12412
1.61479e+09,21.0818,2.97252,-0.20165,-0.0107155,-0.0246192, -3.13098
1.61479e+09,20.5658,2.97497,-0.194049,-0.0128614,-0.0177324, -3.12817
1.61479e+09,20.05,2.9774,-0.187883,-0.0142123,-0.0147448, -3.1222
1.61479e+09,19.526,2.96789,-0.18989,-0.0133035,-0.0204582, -3.12293
1.61479e+09,19.0094,2.96709,-0.182702,-0.019156,-0.0196223, -3.12585
1.61479e+09,18.4746,2.97233,-0.174072,-0.0178995,-0.0219849, -3.13094
1.61479e+09,17.9196,2.97915,-0.169083,-0.016391,-0.0177356, -3.1366
1.61479e+09,17.3871,2.98853,-0.165251,-0.0168237,-0.0224653, 3.14009
1.61479e+09,16.8501,2.99732,-0.155937,-0.0161258,-0.0281955, 3.13358
1.61479e+09,16.3004,3.01622,-0.148018,-0.0131517,-0.0220532, 3.12779
1.61479e+09,15.7439,3.03105,-0.144724,-0.014202,-0.0114595, 3.1363
1.61479e+09,15.2117,3.03861,-0.140575,-0.0124466,-0.0227973, -3.13553
1.61479e+09,14.6731,3.03581,-0.130069,-0.0130806,-0.02369, -3.12588
1.61479e+09,14.1198,3.03466,-0.124892,-0.0146729,-0.0143738, -3.12572
1.61479e+09,13.5884,3.03082,-0.120055,-0.0132489,-0.0260569, -3.13084
1.61479e+09,13.0435,3.03958,-0.112608,-0.0150253,-0.0229818, -3.13479
1.61479e+09,12.4947,3.0439,-0.106856,-0.0142562,-0.0104815, 3.14074
1.61479e+09,11.9435,3.06092,-0.103013,-0.00803538,-0.00714472, 3.13569
1.61479e+09,11.4022,3.08539,-0.107699,-0.00560429,-0.00962439, 3.07351
1.61479e+09,10.8667,3.14281,-0.104361,-0.0113417,-0.0101706, 3.01144
1.61479e+09,10.3358,3.2301,-0.099109,-0.0141114,-0.0146368, 2.97449
1.61479e+09,9.81538,3.33816,-0.0938405,-0.0156241,-0.0231604, 2.95713
1.61479e+09,9.29275,3.44352,-0.0823429,-0.015883,-0.0297449, 2.94382
1.61479e+09,8.66744,3.5824,-0.0704048,-0.0122733,-0.0276896, 2.93482
1.61479e+09,8.10949,3.71646,-0.0607932,-0.00980891,-0.0288928, 2.92004
1.61479e+09,7.53946,3.85296,-0.0530288,-0.0176462,-0.0194398, 2.90311
1.61479e+09,6.97513,3.98896,-0.0457145,-0.0208912,-0.0189525, 2.92069
1.61479e+09,6.41104,4.10085,-0.0412084,-0.0204214,-0.0193223, 2.99866
1.61479e+09,5.84266,4.17409,-0.0341318,-0.0181071,-0.026916, 3.06083
1.61479e+09,5.26065,4.22555,-0.0273883,-0.0173242,-0.0191005, -3.13296
1.61479e+09,4.98046,4.18398,-0.01653,-0.0195483,-0.0174992, -2.83418
1.61479e+09,4.45737,3.98979,-0.00705855,-0.0229287,-0.0215168, -2.60942
1.61479e+09,4.22831,3.79272,-0.0174464,-0.0207326,-0.0184755, -2.33351
1.61479e+09,4.12544,3.68913,-0.00404051,-0.0259374,-0.00421615, -2.11261
1.61479e+09,4.04663,3.55477,-0.0105034,-0.0213067,0.00227595, -1.89938
1.61479e+09,3.98651,3.26623,-0.0139429,-0.0158871,0.00508597, -1.60736
