#timestamp, tx, ty, tz, r, p, y
1.61479e+09,0.000566119,0.000227171,-1.4514e-06,2.38758e-06,-6.0414e-06, 2.01331e-06
1.61479e+09,0.533777,-0.00158345,-0.00205838,0.00718284,0.00282824, -0.00430362
1.61479e+09,1.06423,0.0179726,-0.0109097,0.00278479,-0.00281315, 0.175479
1.61479e+09,1.31187,0.0972839,-0.00860987,0.00472344,-0.00541586, 0.545386
1.61479e+09,1.45923,0.213108,-0.00735921,0.00775295,-0.00873611, 0.771772
1.61479e+09,1.81523,0.565863,-0.00677453,0.00394024,-0.00626125, 0.636276
1.61479e+09,2.06464,0.694963,-0.0070581,0.00754002,-0.0104211, 0.422129
1.61479e+09,2.5384,0.862205,-0.0131882,0.0107039,0.00226916, 0.324374
1.61479e+09,3.1406,1.03505,-0.0161366,0.00319991,0.00373666, 0.269805
1.61479e+09,3.76196,1.18212,-0.0203725,0.00302759,0.000261155, 0.238935
1.61479e+09,4.31568,1.29855,-0.0284535,0.00277896,0.00696106, 0.223381
1.61479e+09,4.8819,1.41855,-0.0398173,-0.00114935,0.00770945, 0.193613
1.61479e+09,5.4471,1.50613,-0.0460408,0.000874343,0.00433463, 0.138473
1.61479e+09,6.069,1.56044,-0.0537478,0.00218014,0.0115843, 0.101408
1.61479e+09,6.70984,1.61122,-0.0607037,0.00107991,-0.00381189, 0.0781392
1.61479e+09,7.38426,1.65168,-0.0718089,-0.000260483,-0.000280856, 0.0626372
1.61479e+09,8.10505,1.68204,-0.0785482,-0.0015083,0.00786524, 0.0489959
1.61479e+09,8.80802,1.70637,-0.0946305,-0.00577955,0.00410335, 0.0357523
1.61479e+09,9.52217,1.72486,-0.106988,-0.00917484,0.00550885, 0.0260696
1.61479e+09,10.2269,1.72673,-0.113386,-0.00725431,0.00368048, 0.0163314
1.61479e+09,10.9529,1.72335,-0.111859,0.00227719,-0.00227486, 0.0337463
1.61479e+09,11.4638,1.76213,-0.125917,-0.00466539,0.00732484, 0.0957128
1.61479e+09,12.2037,1.82951,-0.128344,0.00129411,-0.00408453, 0.123344
1.61479e+09,12.9504,1.91206,-0.137932,0.00552522,-0.000401141, 0.132562
1.61479e+09,13.6909,2.00543,-0.140288,0.00519219,0.00258138, 0.132401
1.61479e+09,14.4336,2.08861,-0.144965,0.00614358,-0.00377789, 0.120181
1.61479e+09,14.9318,2.14051,-0.146576,0.00250193,0.00111815, 0.11795
1.61479e+09,15.4354,2.19419,-0.156361,-0.00134581,0.00476294, 0.115785
1.61479e+09,16.1755,2.27044,-0.164482,0.00112118,0.00277755, 0.110758
1.61479e+09,16.6973,2.31609,-0.173498,0.00428453,0.00725993, 0.10779
1.61479e+09,17.2581,2.37145,-0.185086,0.000423234,0.0102513, 0.103233
1.61479e+09,17.8268,2.41214,-0.184274,0.00513716,-0.000748402, 0.0967386
1.61479e+09,18.3957,2.45583,-0.192186,0.0139073,0.000308929, 0.0924652
1.61479e+09,18.9699,2.49844,-0.193813,0.00949264,0.00607791, 0.0873814
1.61479e+09,19.54,2.53975,-0.202389,0.00658096,-0.000100609, 0.0819666
