#timestamp, tx, ty, tz, r, p, y
1.61479e+09,1.08655e-07,2.43862e-07,-3.30465e-06,0.00158245,-0.0166891, -1.79531e-13
1.61479e+09,0.57138,-0.0146109,0.0116743,0.00608031,-0.010502, -0.00670964
1.61479e+09,1.10258,0.024276,0.00880878,0.000516009,-0.0175164, 0.211881
1.61479e+09,1.26927,0.0809728,0.0138628,-0.00202466,-0.0182093, 0.438109
1.61479e+09,1.35176,0.11745,0.0178892,-0.00479031,-0.0194679, 0.657021
1.61479e+09,1.76757,0.526043,0.020342,-0.00705427,-0.021054, 0.711255
1.61479e+09,2.0197,0.664977,0.0282942,0.000443196,-0.0257759, 0.460496
1.61479e+09,2.60966,0.877692,0.0334494,0.00657675,-0.0144498, 0.314442
1.61479e+09,3.21497,1.04578,0.0352393,0.00139318,-0.0129348, 0.265428
1.61479e+09,3.84338,1.19378,0.0420711,-0.000979419,-0.0136953, 0.235903
1.61479e+09,4.40831,1.31621,0.0443802,0.00218152,-0.00852617, 0.221742
1.61479e+09,4.97605,1.42542,0.0448052,-0.00100672,-0.00890738, 0.18845
1.61479e+09,5.54688,1.5054,0.0466837,-0.00352756,-0.0119971, 0.131573
1.61479e+09,6.17751,1.56746,0.0462151,0.00212495,-0.00509215, 0.0966172
1.61479e+09,6.81872,1.60872,0.0497308,0.000910233,-0.0186491, 0.0749481
1.61479e+09,7.50328,1.64887,0.0517517,0.00118557,-0.0152125, 0.0607562
1.61479e+09,8.21544,1.6765,0.0504384,-0.00253236,-0.00823298, 0.0479977
1.61479e+09,8.92808,1.70637,0.0491422,-0.00820811,-0.0155933, 0.0339431
1.61479e+09,9.634,1.71651,0.0520981,-0.0119404,-0.00722662, 0.0245119
1.61479e+09,10.3357,1.71975,0.0550041,-0.00590135,-0.0207473, 0.0148322
1.61479e+09,11.0776,1.72241,0.0653706,-0.00160439,-0.015408, 0.0627573
1.61479e+09,11.5839,1.76403,0.0599521,-0.00339496,-0.0109585, 0.103526
1.61479e+09,12.3194,1.83297,0.0750391,0.00172956,-0.0192885, 0.125512
1.61479e+09,12.8212,1.88656,0.0769465,0.00530612,-0.0189939, 0.131705
1.61479e+09,13.5667,1.98001,0.0843631,0.00424882,-0.0135309, 0.132943
1.61479e+09,14.3053,2.06739,0.0910803,0.00708458,-0.0187051, 0.120319
1.61479e+09,15.0517,2.14968,0.0964907,0.00282978,-0.0115194, 0.118236
1.61479e+09,15.5517,2.19926,0.0955106,-0.00103742,-0.00750032, 0.115545
1.61479e+09,16.2941,2.27344,0.0985859,-0.00090748,-0.0134934, 0.111216
1.61479e+09,16.8283,2.33061,0.0998465,0.00302013,-0.00976263, 0.105576
1.61479e+09,17.4012,2.3766,0.101705,0.000868292,-0.00579625, 0.101124
1.61479e+09,17.967,2.41676,0.10396,0.00673594,-0.0175832, 0.0974103
1.61479e+09,18.5366,2.45948,0.104335,0.0116489,-0.013933, 0.091312
1.61479e+09,19.1083,2.50412,0.112054,0.0110522,-0.0139759, 0.0864789
1.61479e+09,19.6761,2.55404,0.113833,0.00520849,-0.0168976, 0.0815894
1.61479e+09,20.2465,2.59618,0.114311,0.00154046,-0.0239638, 0.0732737
1.61479e+09,20.8243,2.61836,0.124436,0.00255165,-0.0115346, 0.0687389
1.61479e+09,21.4038,2.64929,0.129923,0.00205607,-0.00996572, 0.0628116
1.61479e+09,21.9798,2.67357,0.129472,0.00350613,-0.00987496, 0.0578707
1.61479e+09,22.5434,2.69291,0.12557,0.00836958,-0.0122267, 0.0504693
1.61479e+09,23.1176,2.71411,0.126834,0.00808959,-0.015053, 0.0462773
1.61479e+09,23.6846,2.73214,0.132176,0.00638239,-0.0129344, 0.040779
1.61479e+09,24.2657,2.74104,0.136168,0.00993942,-0.0158519, 0.0340032
1.61479e+09,24.8548,2.76025,0.14088,0.00708214,-0.00894261, 0.0656008
1.61479e+09,25.4449,2.81107,0.122965,0.0154375,0.00088254, 0.181959
1.61479e+09,25.9639,2.94177,0.0954441,0.0278999,-0.0137819, 0.372181
1.61479e+09,26.4808,3.21817,0.103812,0.00981084,-0.0113437, 0.550558
1.61479e+09,26.9187,3.59671,0.104211,0.00238348,-0.00581048, 0.817514
1.61479e+09,27.2346,4.06667,0.0989064,-0.00867278,-0.025841, 1.03105
1.61479e+09,27.5326,4.53206,0.115379,0.00480128,-0.0172891, 1.09971
1.61479e+09,27.8079,5.07476,0.111318,0.00686531,0.0227016, 1.1187
1.61479e+09,28.0891,5.59323,0.0914912,0.0127258,0.0379271, 1.05184
1.61479e+09,28.409,6.07392,0.061042,0.00765687,0.0422435, 0.954442
1.61479e+09,28.8151,6.56034,0.0150984,0.0165957,0.0971516, 0.894111
1.61479e+09,29.2102,7.01853,-0.0455397,0.0130446,0.135141, 0.851753
1.61479e+09,29.5673,7.41463,-0.117987,0.0270974,0.110582, 0.866064
1.61479e+09,29.9033,7.78782,-0.151515,0.0165456,0.0401511, 0.890343
1.61479e+09,30.2677,8.23446,-0.196559,0.0272002,0.066822, 0.905888
1.61479e+09,30.5958,8.64913,-0.225542,0.0243494,0.0414445, 0.908836
1.61479e+09,30.9391,9.06085,-0.241394,0.0209165,0.0332403, 0.882559
1.61479e+09,31.2888,9.46324,-0.251326,0.0201562,0.0187145, 0.863734
1.61479e+09,31.6499,9.86821,-0.269309,0.016944,0.0131523, 0.848343
1.61479e+09,32.0305,10.2833,-0.27859,0.0106961,0.0235958, 0.838474
1.61479e+09,32.4027,10.6804,-0.297624,0.0119696,0.0208512, 0.823912
1.61479e+09,32.8024,11.0653,-0.318177,0.0118594,0.0294315, 0.768801
1.61479e+09,33.2251,11.4196,-0.342202,0.0236662,0.0290243, 0.698945
1.61479e+09,33.6688,11.7185,-0.369292,0.0230995,0.0395748, 0.463862
1.61479e+09,34.2068,11.9029,-0.394562,0.0185193,0.060957, 0.273339
1.61479e+09,34.7523,12.0093,-0.421835,-0.01783,0.0642322, 0.0468292
1.61479e+09,35.2942,12.0068,-0.459945,-0.0444181,0.0585396, -0.0610276
1.61479e+09,35.8339,11.941,-0.486493,-0.0356251,0.0324001, -0.11033
1.61479e+09,36.3839,11.8564,-0.511675,-0.0132466,0.033458, -0.0748188
1.61479e+09,36.9287,11.817,-0.52408,-0.0135154,0.0304424, -0.0567437
1.61479e+09,37.4666,11.779,-0.535835,-0.00256286,0.00992232, -0.0464603
